/M11/S X,/M11/S Y
-20,2.401289077485005e-05
-18,2.401770064922113e-05
-16,2.4022361452843e-05
-14,2.402686298395266e-05
-12,2.403120645429334e-05
-10,2.403539306713113e-05
-8,2.403942399871071e-05
-6,2.404330039864545e-05
-4,2.404702339030653e-05
-2,2.405059407121384e-05
0,2.40540135134282e-05
2,2.405728276392176e-05
4,2.406040284497211e-05
6,2.406337475451167e-05
8,2.406619946651482e-05
10,2.406887793135924e-05
12,2.407141107617359e-05
14,2.407379980521421e-05
16,2.407604500020416e-05
18,2.407814752068492e-05
20,2.408010820436226e-05
22,2.408192786744147e-05
24,2.408360730496427e-05
26,2.408514729113079e-05
28,2.408654857962501e-05
30,2.408781190393124e-05
32,2.408893797763844e-05
34,2.40899274947411e-05
36,2.409078112993211e-05
38,2.409149953890189e-05
40,2.409208335859284e-05
42,2.409253320748658e-05
44,2.409284968586091e-05
46,2.409303337603519e-05
48,2.40930848426187e-05
50,2.409300463274065e-05
52,2.409279327627658e-05
54,2.409245128605332e-05
56,2.409197915805534e-05
58,2.40913773716197e-05
60,2.409064638961416e-05
62,2.408978665859736e-05
64,2.408879860899721e-05
66,2.408768265523313e-05
68,2.408643919587279e-05
70,2.408506861373698e-05
72,2.408357127602178e-05
74,2.408194753438965e-05
76,2.408019772506086e-05
78,2.407832216887903e-05
80,2.407632117137741e-05
