/M6/S X,/M6/S Y
4.5,2.343539317712838e-05
4.52,2.352801764293501e-05
4.539999999999999,2.362211596821502e-05
4.559999999999999,2.37175736556915e-05
4.579999999999998,2.381428792847126e-05
4.599999999999998,2.391216626538099e-05
4.619999999999997,2.401112512532246e-05
4.639999999999997,2.411108884475261e-05
4.659999999999997,2.421198868719058e-05
4.679999999999996,2.431376202477405e-05
4.699999999999996,2.441635163366979e-05
4.719999999999995,2.451970508712113e-05
4.739999999999995,2.462377423196952e-05
4.759999999999994,2.47285147363841e-05
4.779999999999994,2.483388569829105e-05
4.799999999999994,2.493984930550836e-05
4.819999999999993,2.504637054000222e-05
4.839999999999993,2.51534169197725e-05
4.859999999999992,2.5260958272935e-05
4.879999999999992,2.536896653936513e-05
4.899999999999991,2.547741559601337e-05
4.919999999999991,2.558628110259754e-05
4.939999999999991,2.569554036486461e-05
4.95999999999999,2.580517221309218e-05
4.97999999999999,2.591515689378907e-05
4.999999999999989,2.602547597292689e-05
5.019999999999989,2.613611224923981e-05
5.039999999999988,2.624704967637964e-05
5.059999999999988,2.635827329286973e-05
5.079999999999988,2.646976915898298e-05
5.099999999999987,2.658152429978917e-05
5.119999999999987,2.669352665370578e-05
5.139999999999986,2.680576502604341e-05
5.159999999999986,2.691822904704109e-05
5.179999999999986,2.70309091339891e-05
5.199999999999985,2.714379645710993e-05
5.219999999999985,2.72568829088397e-05
5.239999999999984,2.737016107627307e-05
5.259999999999984,2.748362421648715e-05
5.279999999999983,2.759726623451484e-05
5.299999999999983,2.771108166375822e-05
5.319999999999983,2.78250656486262e-05
5.339999999999982,2.793921392920455e-05
5.359999999999982,2.805352282778514e-05
5.379999999999981,2.816798923707757e-05
5.399999999999981,2.828261061067371e-05
5.41999999999998,2.839738495453499e-05
5.43999999999998,2.851231081679998e-05
5.45999999999998,2.862738728271073e-05
5.479999999999979,2.87426139691811e-05
5.5,2.885799102021598e-05
